TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-05-06,2025-05-06,CM,NSE,STK,19078,IN0020200104,SGBJUN28,GB,,,,,2.5%GOLDBONDS2028SR-III,9300.00,9470.00,9300.00,9454.25,9470.00,9230.00,,9449.12,,,289,2713955.20,32,F1,1,,,,,
2025-05-06,2025-05-06,CM,NSE,STK,1342,IN0020200286,SGBN28VIII,GB,,,,,2.5%GOLDBONDS2028SR-VIII,9250.00,9389.00,9250.00,9323.38,9325.00,9157.37,,9321.23,,,485,4518742.98,63,F1,1,,,,,
2025-05-06,2025-05-06,CM,NSE,STK,3742,IN0020210053,SGBMAY29I,GB,,,,,2.5%GOLDBONDS2029SR-I,9165.00,9330.00,9165.00,9304.70,9306.00,9154.52,,9304.70,,,554,5146118.93,118,F1,1,,,,,
2025-05-06,2025-05-06,CM,NSE,STK,3743,IN0020210061,SGBJUN29II,GB,,,,,2.5%GOLDBONDS2029SR-II,9239.00,9317.99,9239.00,9282.89,9317.90,9129.90,,9282.89,,,413,3832248.54,52,F1,1,,,,,
2025-05-06,2025-05-06,CM,NSE,STK,3800,IN0020210087,SGBJU29III,GB,,,,,2.5%GOLDBONDS2029SR-III,9162.00,9304.00,9162.00,9303.00,9303.00,9138.73,,9303.00,,,156,1449635.07,31,F1,1,,,,,
2025-05-06,2025-05-06,CM,NSE,STK,5575,IN0020210145,SGBSEP29VI,GB,,,,,2.5%GOLDBONDS2029SR-VI,9200.00,9298.00,9200.00,9270.23,9275.00,9117.54,,9270.20,,,2848,26410296.29,106,F1,1,,,,,
2025-05-06,2025-05-06,CM,NSE,STK,6518,IN0020210178,SGBNV29VII,GB,,,,,2.5%GOLDBONDS2029SR-VII,9129.85,9299.99,9129.85,9289.65,9297.99,9129.85,,9289.65,,,1566,14534504.46,144,F1,1,,,,,
2025-05-06,2025-05-06,CM,NSE,STK,250,IN0020170059,SGBOCT25,GB,,,,,2.50% GOLDBONDS2025SR-III,9350.00,9360.00,9350.00,9360.00,9360.00,9258.99,,9360.00,,,17,158960.00,4,F1,1,,,,,
2025-05-06,2025-05-06,CM,NSE,STK,304,IN0020170067,SGBOCT25IV,GB,,,,,2.50% GOLDBONDS2025SR-IV,9160.01,9350.00,9150.00,9250.22,9250.22,9077.00,,9275.11,,,48,443105.42,10,F1,1,,,,,
2025-05-06,2025-05-06,CM,NSE,STK,540,IN0020170117,SGBNOV25IX,GB,,,,,2.50%GOLDBONDS 2025SR-IX,9401.00,9500.00,9400.00,9500.00,9500.00,9300.00,,9500.00,,,16,150501.00,3,F1,1,,,,,
2025-05-06,2025-05-06,CM,NSE,STK,795,IN0020170141,SGBDEC2512,GB,,,,,2.50%GOLDBONDS2025 SR-XII,9394.42,9394.42,9394.42,9394.42,9394.42,9378.27,,9374.89,,,5,46972.10,1,F1,1,,,,,
2025-05-06,2025-05-06,CM,NSE,STK,497,IN0020170109,SGBNOV258,GB,,,,,2.50%GOLDBONDS2025SR-VIII,9500.00,9500.00,9500.00,9500.00,9500.00,9300.00,,9500.00,,,2,19000.00,1,F1,1,,,,,
2025-05-06,2025-05-06,CM,NSE,STK,862,IN0020170158,SGBDEC2513,GB,,,,,2.50%GOLDBONDS2025SR-XIII,9600.00,9600.00,9600.00,9600.00,9600.00,9600.00,,9600.00,,,5,48000.00,2,F1,1,,,,,
2025-05-06,2025-05-06,CM,NSE,STK,2891,IN0020180033,SGBMAY26,GB,,,,,2.50%GOLDBONDS2026SR-I,9550.00,9550.00,9400.00,9401.00,9401.00,9550.00,,9401.00,,,4,37752.00,3,F1,1,,,,,
2025-05-06,2025-05-06,CM,NSE,STK,5960,IN0020180249,SGBOCT26,GB,,,,,2.50%GOLDBONDS2026SR-II,9255.00,9255.00,9255.00,9255.00,9255.00,9195.14,,9227.51,,,1,9255.00,1,F1,1,,,,,
2025-05-06,2025-05-06,CM,NSE,STK,945,IN0020170166,SGBJAN26,GB,,,,,2.50%GOLDBONDS2026SR-XIV,9350.00,9430.00,9350.00,9421.36,9430.00,9490.00,,9421.36,,,66,620744.90,21,F1,1,,,,,
2025-05-06,2025-05-06,CM,NSE,STK,10261,IN0020190073,SGBJUN27,GB,,,,,2.50%GOLDBONDS2027SR-I,9400.00,9401.00,9400.00,9400.00,9400.00,9498.00,,9400.00,,,49,460614.00,6,F1,1,,,,,
2025-05-06,2025-05-06,CM,NSE,STK,11154,IN0020190081,SGBJUL27,GB,,,,,2.50%GOLDBONDS2027SR-II,9300.00,9350.00,9300.00,9350.00,9350.00,9120.00,,9350.00,,,191,1777950.00,7,F1,1,,,,,
2025-05-06,2025-05-06,CM,NSE,STK,12904,IN0020190107,SGBAUG27,GB,,,,,2.50%GOLDBONDS2027SR-III,9470.00,9470.00,9350.00,9450.00,9450.00,9240.93,,9435.78,,,50,472686.90,12,F1,1,,,,,
2025-05-06,2025-05-06,CM,NSE,STK,13209,IN0020190115,SGBSEP27,GB,,,,,2.50%GOLDBONDS2027SR-IV,9379.99,9379.99,9156.01,9331.43,9360.00,9120.75,,9331.43,,,70,652328.48,14,F1,1,,,,,
2025-05-06,2025-05-06,CM,NSE,STK,8308,IN0020180462,SGBJAN27,GB,,,,,2.50%GOLDBONDS2027SR-V,9300.00,9360.00,9300.00,9360.00,9360.00,9129.70,,9360.00,,,33,308620.00,5,F1,1,,,,,
2025-05-06,2025-05-06,CM,NSE,STK,13981,IN0020190370,SGBOCT27,GB,,,,,2.50%GOLDBONDS2027SR-V,9179.74,9393.90,9179.74,9250.72,9250.72,9179.74,,9250.72,,,50,461658.10,9,F1,1,,,,,
2025-05-06,2025-05-06,CM,NSE,STK,8766,IN0020180561,SGBFEB27,GB,,,,,2.50%GOLDBONDS2027SR-VI,9200.00,9350.00,9200.00,9350.00,9350.00,9300.00,,9350.00,,,11,102100.00,2,F1,1,,,,,
2025-05-06,2025-05-06,CM,NSE,STK,14252,IN0020190388,SGBOCT27VI,GB,,,,,2.50%GOLDBONDS2027SR-VI,9299.00,9349.99,9298.00,9347.81,9349.99,9067.50,,9347.81,,,30,280346.73,7,F1,1,,,,,
2025-05-06,2025-05-06,CM,NSE,STK,15432,IN0020190461,SGBDC27VII,GB,,,,,2.50%GOLDBONDS2027SR-VII,9300.00,9401.00,9300.00,9401.00,9401.00,9260.00,,9401.00,,,68,639066.00,20,F1,1,,,,,
