TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-04-16,2026-04-16,CM,NSE,STK,19078,IN0020200104,SGBJUN28,GB,,,,,2.5%GOLDBONDS2028SR-III,15101.00,15194.77,15031.02,15124.00,15124.00,15001.60,,15171.50,,,173,2612519.19,42,F1,1,,,,,
2026-04-16,2026-04-16,CM,NSE,STK,1342,IN0020200286,SGBN28VIII,GB,,,,,2.5%GOLDBONDS2028SR-VIII,15101.00,15277.00,15101.00,15175.01,15175.00,15097.42,,15175.01,,,76,1153490.12,23,F1,1,,,,,
2026-04-16,2026-04-16,CM,NSE,STK,3742,IN0020210053,SGBMAY29I,GB,,,,,2.5%GOLDBONDS2029SR-I,15290.00,15290.00,15135.01,15171.14,15166.00,15092.69,,15171.14,,,380,5767382.78,79,F1,1,,,,,
2026-04-16,2026-04-16,CM,NSE,STK,3743,IN0020210061,SGBJUN29II,GB,,,,,2.5%GOLDBONDS2029SR-II,15030.00,15223.00,15011.00,15110.00,15110.00,15025.76,,15107.50,,,112,1691969.61,36,F1,1,,,,,
2026-04-16,2026-04-16,CM,NSE,STK,3800,IN0020210087,SGBJU29III,GB,,,,,2.5%GOLDBONDS2029SR-III,15090.00,15248.99,15090.00,15187.50,15195.00,15038.50,,15187.50,,,81,1227720.45,33,F1,1,,,,,
2026-04-16,2026-04-16,CM,NSE,STK,5575,IN0020210145,SGBSEP29VI,GB,,,,,2.5%GOLDBONDS2029SR-VI,15150.00,15250.00,15034.00,15173.50,15176.00,15150.00,,15173.50,,,249,3770683.49,58,F1,1,,,,,
2026-04-16,2026-04-16,CM,NSE,STK,6518,IN0020210178,SGBNV29VII,GB,,,,,2.5%GOLDBONDS2029SR-VII,15150.00,15485.00,15150.00,15240.00,15240.00,15110.00,,15240.00,,,25,383458.00,10,F1,1,,,,,
2026-04-16,2026-04-16,CM,NSE,STK,2891,IN0020180033,SGBMAY26,GB,,,,,2.50%GOLDBONDS2026SR-I,15161.00,15180.00,15150.00,15180.00,15180.00,15100.00,,15250.00,,,13,197031.00,6,F1,1,,,,,
2026-04-16,2026-04-16,CM,NSE,STK,6355,IN0020180314,SGBNOV26,GB,,,,,2.50%GOLDBONDS2026SR-III,15151.00,15151.00,15125.00,15126.71,15126.01,15102.00,,15126.71,,,148,2238956.24,5,F1,1,,,,,
2026-04-16,2026-04-16,CM,NSE,STK,10261,IN0020190073,SGBJUN27,GB,,,,,2.50%GOLDBONDS2027SR-I,15150.00,15300.00,15100.00,15100.00,15100.00,15005.00,,15100.00,,,55,834700.00,4,F1,1,,,,,
2026-04-16,2026-04-16,CM,NSE,STK,12904,IN0020190107,SGBAUG27,GB,,,,,2.50%GOLDBONDS2027SR-III,15150.00,15150.00,15000.00,15117.57,15110.00,15073.07,,15117.57,,,122,1842228.00,37,F1,1,,,,,
2026-04-16,2026-04-16,CM,NSE,STK,13209,IN0020190115,SGBSEP27,GB,,,,,2.50%GOLDBONDS2027SR-IV,15499.99,15499.99,15499.99,15499.99,15499.99,15000.00,,15499.99,,,1,15499.99,1,F1,1,,,,,
2026-04-16,2026-04-16,CM,NSE,STK,8766,IN0020180561,SGBFEB27,GB,,,,,2.50%GOLDBONDS2027SR-VI,15010.80,15075.01,14999.99,15054.52,15058.73,15050.00,,15054.52,,,182,2735666.50,28,F1,1,,,,,
2026-04-16,2026-04-16,CM,NSE,STK,14252,IN0020190388,SGBOCT27VI,GB,,,,,2.50%GOLDBONDS2027SR-VI,15036.01,15190.00,15036.01,15150.01,15150.01,15092.87,,15150.01,,,46,696370.09,5,F1,1,,,,,
2026-04-16,2026-04-16,CM,NSE,STK,15432,IN0020190461,SGBDC27VII,GB,,,,,2.50%GOLDBONDS2027SR-VII,15150.00,15174.99,15100.00,15174.99,15174.99,15000.01,,15174.99,,,22,333449.92,5,F1,1,,,,,
2026-04-16,2026-04-16,CM,NSE,STK,18862,IN0020200062,SGBAPR28I,GB,,,,,2.50%GOLDBONDS2028SR-I,15200.00,15349.99,15116.00,15227.66,15298.00,15151.30,,15278.68,,,46,701650.99,29,F1,1,,,,,
2026-04-16,2026-04-16,CM,NSE,STK,18972,IN0020200088,SGBMAY28,GB,,,,,2.50%GOLDBONDS2028SR-II,15100.00,15173.00,15100.00,15160.18,15158.00,15046.23,,15160.18,,,56,847778.04,14,F1,1,,,,,
2026-04-16,2026-04-16,CM,NSE,STK,22242,IN0020200146,SGBJUL28IV,GB,,,,,2.50%GOLDBONDS2028SR-IV,15100.00,15150.00,15015.11,15105.62,15111.00,15014.06,,15105.62,,,99,1493247.00,24,F1,1,,,,,
2026-04-16,2026-04-16,CM,NSE,STK,17664,IN0020190545,SGBFEB28IX,GB,,,,,2.50%GOLDBONDS2028SR-IX,15000.01,15080.00,15000.00,15080.00,15080.00,14986.00,,15080.00,,,33,495795.05,12,F1,1,,,,,
2026-04-16,2026-04-16,CM,NSE,STK,22385,IN0020200161,SGBAUG28V,GB,,,,,2.50%GOLDBONDS2028SR-V,15000.00,15125.00,15000.00,15115.62,15120.00,15014.16,,15113.66,,,1123,16937350.90,210,F1,1,,,,,
2026-04-16,2026-04-16,CM,NSE,STK,149,IN0020200195,SGBSEP28VI,GB,,,,,2.50%GOLDBONDS2028SR-VI,15027.01,15100.00,15000.00,15083.67,15090.00,15026.80,,15091.89,,,424,6393890.93,81,F1,1,,,,,
2026-04-16,2026-04-16,CM,NSE,STK,834,IN0020200203,SGBOC28VII,GB,,,,,2.50%GOLDBONDS2028SR-VII,15224.00,15299.89,15099.99,15192.81,15137.15,15020.85,,15192.81,,,37,559867.78,13,F1,1,,,,,
2026-04-16,2026-04-16,CM,NSE,STK,18451,IN0020190552,SGBMAR28X,GB,,,,,2.50%GOLDBONDS2028SR-X,15200.00,15200.00,15100.00,15100.00,15100.00,14967.40,,15100.00,,,42,634774.70,6,F1,1,,,,,
2026-04-16,2026-04-16,CM,NSE,STK,5113,IN0020210111,SGBJUL29IV,GB,,,,,2.50%GOLDBONDS2029SR-IV,15026.05,15265.00,15026.05,15147.77,15156.00,14994.55,,15137.27,,,39,590400.83,18,F1,1,,,,,
2026-04-16,2026-04-16,CM,NSE,STK,1920,IN0020200377,SGBJAN29IX,GB,,,,,2.50%GOLDBONDS2029SR-IX,15100.00,15150.00,15050.00,15130.14,15140.00,15031.00,,15130.14,,,146,2205392.85,40,F1,1,,,,,
2026-04-16,2026-04-16,CM,NSE,STK,5455,IN0020210129,SGBAUG29V,GB,,,,,2.50%GOLDBONDS2029SR-V,15041.01,15250.00,15040.00,15202.19,15085.00,15040.00,,15192.04,,,101,1533794.71,34,F1,1,,,,,
2026-04-16,2026-04-16,CM,NSE,STK,7098,IN0020210228,SGBD29VIII,GB,,,,,2.50%GOLDBONDS2029SR-VIII,15100.00,15265.00,15061.00,15211.66,15265.00,15053.90,,15193.46,,,144,2185144.72,43,F1,1,,,,,
2026-04-16,2026-04-16,CM,NSE,STK,2003,IN0020200385,SGBJAN29X,GB,,,,,2.50%GOLDBONDS2029SR-X,15026.50,15118.50,15026.50,15084.30,15117.00,14970.07,,15084.30,,,329,4958406.48,43,F1,1,,,,,
2026-04-16,2026-04-16,CM,NSE,STK,2200,IN0020200393,SGBFEB29XI,GB,,,,,2.50%GOLDBONDS2029SR-XI,15017.00,15200.00,15017.00,15104.88,15200.00,15152.78,,15087.35,,,50,756261.43,26,F1,1,,,,,
2026-04-16,2026-04-16,CM,NSE,STK,2810,IN0020200427,SGBMR29XII,GB,,,,,2.50%GOLDBONDS2029SR-XII,15100.00,15150.00,15060.00,15117.62,15145.00,15020.67,,15117.62,,,211,3187903.98,48,F1,1,,,,,
2026-04-16,2026-04-16,CM,NSE,STK,10232,IN0020220045,SGBJUN30,GB,,,,,2.50%GOLDBONDS2030SR-I,15075.00,15400.00,15075.00,15201.95,15250.00,15060.19,,15204.78,,,157,2383723.64,66,F1,1,,,,,
2026-04-16,2026-04-16,CM,NSE,STK,11192,IN0020220078,SGBAUG30,GB,,,,,2.50%GOLDBONDS2030SR-II,15250.00,15299.99,15131.00,15210.98,15280.00,15106.60,,15206.94,,,185,2814208.62,83,F1,1,,,,,
2026-04-16,2026-04-16,CM,NSE,STK,13642,IN0020220110,SGBDE30III,GB,,,,,2.50%GOLDBONDS2030SR-III,15339.99,15339.99,15201.18,15299.92,15314.99,15080.59,,15293.94,,,52,793553.31,23,F1,1,,,,,
2026-04-16,2026-04-16,CM,NSE,STK,7879,IN0020210236,SGBJAN30IX,GB,,,,,2.50%GOLDBONDS2030SR-IX,15198.87,15600.00,15015.00,15195.22,15201.00,15198.87,,15195.22,,,152,2308730.75,48,F1,1,,,,,
2026-04-16,2026-04-16,CM,NSE,STK,8401,IN0020210319,SGBMAR30X,GB,,,,,2.50%GOLDBONDS2030SR-X,15290.00,15330.00,15115.01,15295.00,15295.00,15100.73,,15295.00,,,68,1038470.89,25,F1,1,,,,,
2026-04-16,2026-04-16,CM,NSE,STK,17202,IN0020230069,SGBJUN31I,GB,,,,,2.50%GOLDBONDS2031SR-I,14897.35,15478.87,14897.35,15414.21,15420.00,15279.34,,15414.78,,,412,6334426.88,110,F1,1,,,,,
2026-04-16,2026-04-16,CM,NSE,STK,19456,IN0020230093,SGBSEP31II,GB,,,,,2.50%GOLDBONDS2031SR-II,15242.66,15480.00,15215.02,15424.73,15405.00,15242.66,,15422.99,,,2038,31273463.66,286,F1,1,,,,,
2026-04-16,2026-04-16,CM,NSE,STK,22476,IN0020230168,SGBDE31III,GB,,,,,2.50%GOLDBONDS2031SR-III,15399.90,15600.00,15316.20,15580.00,15600.00,15399.90,,15573.18,,,1517,23559722.89,337,F1,1,,,,,
2026-04-16,2026-04-16,CM,NSE,STK,14598,IN0020220169,SGBMAR31IV,GB,,,,,2.50%GOLDBONDS2031SR-IV,15318.86,15443.99,15280.00,15401.05,15400.00,15242.65,,15401.05,,,309,4747870.58,62,F1,1,,,,,
2026-04-16,2026-04-16,CM,NSE,STK,22886,IN0020230184,SGBFEB32IV,GB,,,,,2.50%GOLDBONDS2032SR-IV,16010.00,16239.97,16010.00,16108.13,16110.00,16009.18,,16104.14,,,909,14655603.30,212,F1,1,,,,,
2026-04-16,2026-04-16,CM,NSE,STK,16921,INE144J01027,20MICRONS,EQ,,,,,20 MICRONS LTD,170.01,184.95,168.10,181.89,181.00,168.64,,181.90,,,862011,154861599.07,11259,F1,1,,,,,
2026-04-16,2026-04-16,CM,NSE,STK,4,INE253B01015,21STCENMGM,EQ,,,,,21ST CENTURY MGMT SERVICE,31.78,31.78,31.78,31.78,31.78,31.16,,31.78,,,1675,53231.50,16,F1,1,,,,,
2026-04-16,2026-04-16,CM,NSE,STK,13061,INE466L01038,360ONE,EQ,,,,,360 ONE WAM LIMITED,1071.00,1085.00,1056.90,1076.45,1080.00,1056.00,,1076.45,,,796315,850920129.45,27113,F1,1,,,,,
2026-04-16,2026-04-16,CM,NSE,STK,30105,INF579M01BB5,GOLD360,EQ,,,,,360ONEAMC - GOLD360,151.80,151.80,148.05,148.20,148.30,148.10,,148.20,,,15278,2269334.35,278,F1,1,,,,,
2026-04-16,2026-04-16,CM,NSE,STK,756150,INF579M01BC3,SILVER360,EQ,,,,,360ONEAMC - SILVER360,243.12,246.44,243.11,244.45,244.72,240.69,,244.44,,,51901,12736032.36,938,F1,1,,,,,
2026-04-16,2026-04-16,CM,NSE,STK,6232,INE748C01038,3IINFOLTD,EQ,,,,,3I INFOTECH LIMITED,17.00,17.49,16.95,17.33,17.30,16.90,,17.33,,,847964,14644463.08,1726,F1,1,,,,,
