TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-12-29,2025-12-29,CM,NSE,STK,19078,IN0020200104,SGBJUN28,GB,,,,,2.5%GOLDBONDS2028SR-III,14655.01,14898.00,14301.10,14430.73,14400.00,14645.37,,14425.74,,,669,9804729.17,187,F1,1,,,,,
2025-12-29,2025-12-29,CM,NSE,STK,1342,IN0020200286,SGBN28VIII,GB,,,,,2.5%GOLDBONDS2028SR-VIII,15004.77,15004.77,14410.00,14429.28,14410.00,14710.56,,14429.28,,,612,9024314.59,118,F1,1,,,,,
2025-12-29,2025-12-29,CM,NSE,STK,3742,IN0020210053,SGBMAY29I,GB,,,,,2.5%GOLDBONDS2029SR-I,14848.80,15000.00,14550.00,14654.46,14794.00,14795.75,,14660.47,,,892,13266845.93,186,F1,1,,,,,
2025-12-29,2025-12-29,CM,NSE,STK,3743,IN0020210061,SGBJUN29II,GB,,,,,2.5%GOLDBONDS2029SR-II,15439.80,15439.80,14600.00,14632.22,14600.00,14820.00,,14632.22,,,317,4745814.54,70,F1,1,,,,,
2025-12-29,2025-12-29,CM,NSE,STK,3800,IN0020210087,SGBJU29III,GB,,,,,2.5%GOLDBONDS2029SR-III,14705.75,14965.94,14305.00,14488.52,14305.00,14743.78,,14487.63,,,450,6619461.13,116,F1,1,,,,,
2025-12-29,2025-12-29,CM,NSE,STK,5575,IN0020210145,SGBSEP29VI,GB,,,,,2.5%GOLDBONDS2029SR-VI,14950.00,15028.00,14549.97,14556.15,14618.80,14816.07,,14554.52,,,1195,17704153.18,208,F1,1,,,,,
2025-12-29,2025-12-29,CM,NSE,STK,6518,IN0020210178,SGBNV29VII,GB,,,,,2.5%GOLDBONDS2029SR-VII,14950.00,15052.50,14698.00,14698.00,14698.00,14836.42,,14699.73,,,202,3027553.57,77,F1,1,,,,,
2025-12-29,2025-12-29,CM,NSE,STK,2891,IN0020180033,SGBMAY26,GB,,,,,2.50%GOLDBONDS2026SR-I,15274.98,15274.98,15274.98,15274.98,15274.98,14402.02,,15019.99,,,1,15274.98,1,F1,1,,,,,
2025-12-29,2025-12-29,CM,NSE,STK,5960,IN0020180249,SGBOCT26,GB,,,,,2.50%GOLDBONDS2026SR-II,15000.20,15499.80,15000.20,15479.80,15479.80,14800.00,,14952.41,,,10,154458.40,3,F1,1,,,,,
2025-12-29,2025-12-29,CM,NSE,STK,6355,IN0020180314,SGBNOV26,GB,,,,,2.50%GOLDBONDS2026SR-III,14900.00,14900.00,14900.00,14900.00,14900.00,14900.00,,14900.00,,,2,29800.00,1,F1,1,,,,,
2025-12-29,2025-12-29,CM,NSE,STK,7654,IN0020180389,SGBDEC26,GB,,,,,2.50%GOLDBONDS2026SR-IV,15710.00,15710.00,15499.00,15600.00,15600.00,15708.07,,15600.00,,,13,203249.00,6,F1,1,,,,,
2025-12-29,2025-12-29,CM,NSE,STK,945,IN0020170166,SGBJAN26,GB,,,,,2.50%GOLDBONDS2026SR-XIV,14350.20,14800.00,14350.20,14350.35,14350.35,14350.00,,14503.31,,,73,1054902.89,36,F1,1,,,,,
2025-12-29,2025-12-29,CM,NSE,STK,10261,IN0020190073,SGBJUN27,GB,,,,,2.50%GOLDBONDS2027SR-I,14950.20,15395.70,14626.50,15024.95,15024.95,14750.00,,15024.95,,,48,710424.45,11,F1,1,,,,,
2025-12-29,2025-12-29,CM,NSE,STK,11154,IN0020190081,SGBJUL27,GB,,,,,2.50%GOLDBONDS2027SR-II,14250.83,15000.00,14250.83,15000.00,15000.00,15000.00,,15000.00,,,11,157508.30,2,F1,1,,,,,
2025-12-29,2025-12-29,CM,NSE,STK,12904,IN0020190107,SGBAUG27,GB,,,,,2.50%GOLDBONDS2027SR-III,14111.20,15016.61,14111.20,14650.00,14650.00,15016.61,,14644.38,,,190,2822934.37,68,F1,1,,,,,
2025-12-29,2025-12-29,CM,NSE,STK,13209,IN0020190115,SGBSEP27,GB,,,,,2.50%GOLDBONDS2027SR-IV,14975.20,15174.60,14510.00,14799.99,14800.00,14972.18,,14799.99,,,112,1641904.92,31,F1,1,,,,,
2025-12-29,2025-12-29,CM,NSE,STK,8308,IN0020180462,SGBJAN27,GB,,,,,2.50%GOLDBONDS2027SR-V,14800.00,14800.20,14572.50,14645.36,14645.36,14500.00,,14697.68,,,98,1432744.18,20,F1,1,,,,,
2025-12-29,2025-12-29,CM,NSE,STK,13981,IN0020190370,SGBOCT27,GB,,,,,2.50%GOLDBONDS2027SR-V,15150.41,15200.00,14800.00,15073.57,15188.00,15507.48,,15073.57,,,34,512715.83,12,F1,1,,,,,
2025-12-29,2025-12-29,CM,NSE,STK,8766,IN0020180561,SGBFEB27,GB,,,,,2.50%GOLDBONDS2027SR-VI,15199.80,15200.00,14700.00,14700.00,14700.00,14500.50,,14700.00,,,40,604996.40,8,F1,1,,,,,
2025-12-29,2025-12-29,CM,NSE,STK,14252,IN0020190388,SGBOCT27VI,GB,,,,,2.50%GOLDBONDS2027SR-VI,15199.80,15199.80,14944.35,14944.35,14944.35,14944.35,,14782.50,,,6,90687.90,2,F1,1,,,,,
2025-12-29,2025-12-29,CM,NSE,STK,15432,IN0020190461,SGBDC27VII,GB,,,,,2.50%GOLDBONDS2027SR-VII,14989.99,15000.00,14306.00,14529.15,14306.00,14989.99,,14529.15,,,104,1551025.01,43,F1,1,,,,,
2025-12-29,2025-12-29,CM,NSE,STK,18862,IN0020200062,SGBAPR28I,GB,,,,,2.50%GOLDBONDS2028SR-I,14899.00,15074.80,14290.00,14441.69,14485.00,14878.12,,14450.27,,,1639,24055586.39,264,F1,1,,,,,
2025-12-29,2025-12-29,CM,NSE,STK,18972,IN0020200088,SGBMAY28,GB,,,,,2.50%GOLDBONDS2028SR-II,14703.00,14845.00,14250.00,14461.51,14449.98,14644.32,,14464.94,,,1737,25431853.71,201,F1,1,,,,,
2025-12-29,2025-12-29,CM,NSE,STK,22242,IN0020200146,SGBJUL28IV,GB,,,,,2.50%GOLDBONDS2028SR-IV,14749.80,14898.99,14450.00,14461.65,14450.00,14654.72,,14437.60,,,796,11690543.02,182,F1,1,,,,,
2025-12-29,2025-12-29,CM,NSE,STK,17664,IN0020190545,SGBFEB28IX,GB,,,,,2.50%GOLDBONDS2028SR-IX,14800.00,15029.04,14501.00,14562.34,14573.52,14765.00,,14562.34,,,122,1812426.76,46,F1,1,,,,,
2025-12-29,2025-12-29,CM,NSE,STK,22385,IN0020200161,SGBAUG28V,GB,,,,,2.50%GOLDBONDS2028SR-V,14815.00,15170.00,14500.00,14525.73,14580.00,14814.64,,14521.42,,,2877,42606825.86,577,F1,1,,,,,
2025-12-29,2025-12-29,CM,NSE,STK,149,IN0020200195,SGBSEP28VI,GB,,,,,2.50%GOLDBONDS2028SR-VI,14778.74,15110.80,14450.00,14490.96,14549.90,14705.22,,14492.38,,,675,9895690.28,158,F1,1,,,,,
2025-12-29,2025-12-29,CM,NSE,STK,834,IN0020200203,SGBOC28VII,GB,,,,,2.50%GOLDBONDS2028SR-VII,14841.50,14900.50,14500.00,14545.68,14590.00,14841.50,,14545.68,,,525,7707041.92,98,F1,1,,,,,
2025-12-29,2025-12-29,CM,NSE,STK,17110,IN0020190537,SGBJ28VIII,GB,,,,,2.50%GOLDBONDS2028SR-VIII,14799.90,14899.90,14605.00,14605.00,14605.00,14717.00,,14605.00,,,45,664762.30,17,F1,1,,,,,
2025-12-29,2025-12-29,CM,NSE,STK,18451,IN0020190552,SGBMAR28X,GB,,,,,2.50%GOLDBONDS2028SR-X,14900.00,14910.00,14500.00,14520.76,14549.80,14879.80,,14520.76,,,109,1593268.01,17,F1,1,,,,,
