TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-05-08,2025-05-08,CM,NSE,STK,19078,IN0020200104,SGBJUN28,GB,,,,,2.5%GOLDBONDS2028SR-III,9473.00,9494.00,9403.00,9453.00,9453.00,9463.00,,9377.00,,,34,321333.00,9,F1,1,,,,,
2025-05-08,2025-05-08,CM,NSE,STK,1342,IN0020200286,SGBN28VIII,GB,,,,,2.5%GOLDBONDS2028SR-VIII,9327.00,9373.99,9285.01,9320.83,9320.01,9337.54,,9320.83,,,329,3073224.16,36,F1,1,,,,,
2025-05-08,2025-05-08,CM,NSE,STK,3742,IN0020210053,SGBMAY29I,GB,,,,,2.5%GOLDBONDS2029SR-I,9332.09,9364.00,9276.00,9285.08,9285.00,9332.09,,9285.08,,,495,4609865.09,62,F1,1,,,,,
2025-05-08,2025-05-08,CM,NSE,STK,3743,IN0020210061,SGBJUN29II,GB,,,,,2.5%GOLDBONDS2029SR-II,9330.00,9364.98,9270.00,9282.20,9282.00,9330.00,,9282.20,,,153,1425378.23,25,F1,1,,,,,
2025-05-08,2025-05-08,CM,NSE,STK,3800,IN0020210087,SGBJU29III,GB,,,,,2.5%GOLDBONDS2029SR-III,9249.00,9328.00,9249.00,9283.33,9299.99,9310.37,,9283.33,,,201,1871792.73,29,F1,1,,,,,
2025-05-08,2025-05-08,CM,NSE,STK,5575,IN0020210145,SGBSEP29VI,GB,,,,,2.5%GOLDBONDS2029SR-VI,9300.00,9340.00,9255.00,9271.23,9270.00,9289.45,,9271.23,,,3457,32117342.79,220,F1,1,,,,,
2025-05-08,2025-05-08,CM,NSE,STK,6518,IN0020210178,SGBNV29VII,GB,,,,,2.5%GOLDBONDS2029SR-VII,9455.00,9455.00,9244.00,9291.77,9318.00,9324.91,,9291.77,,,428,3977283.51,58,F1,1,,,,,
2025-05-08,2025-05-08,CM,NSE,STK,250,IN0020170059,SGBOCT25,GB,,,,,2.50% GOLDBONDS2025SR-III,9539.00,9539.00,9537.99,9537.99,9537.99,9360.00,,9537.99,,,7,66771.99,3,F1,1,,,,,
2025-05-08,2025-05-08,CM,NSE,STK,304,IN0020170067,SGBOCT25IV,GB,,,,,2.50% GOLDBONDS2025SR-IV,9455.00,9455.00,9307.03,9331.61,9340.00,9455.69,,9331.61,,,10,93821.06,8,F1,1,,,,,
2025-05-08,2025-05-08,CM,NSE,STK,623,IN0020170125,SGBDEC25,GB,,,,,2.50%GOLDBONDS 2025 SR-X,9500.00,9500.00,9500.00,9500.00,9500.00,9560.00,,9500.00,,,4,38000.00,3,F1,1,,,,,
2025-05-08,2025-05-08,CM,NSE,STK,795,IN0020170141,SGBDEC2512,GB,,,,,2.50%GOLDBONDS2025 SR-XII,9400.00,9400.00,9400.00,9400.00,9400.00,9394.42,,9400.00,,,3,28200.00,1,F1,1,,,,,
2025-05-08,2025-05-08,CM,NSE,STK,2891,IN0020180033,SGBMAY26,GB,,,,,2.50%GOLDBONDS2026SR-I,9401.00,9545.00,9290.00,9290.00,9290.00,9401.00,,9290.00,,,5,47038.00,4,F1,1,,,,,
2025-05-08,2025-05-08,CM,NSE,STK,5960,IN0020180249,SGBOCT26,GB,,,,,2.50%GOLDBONDS2026SR-II,9519.99,9519.99,9519.99,9519.99,9519.99,9369.99,,9519.99,,,2,19039.98,1,F1,1,,,,,
2025-05-08,2025-05-08,CM,NSE,STK,6355,IN0020180314,SGBNOV26,GB,,,,,2.50%GOLDBONDS2026SR-III,9450.00,9450.00,9450.00,9450.00,9450.00,9349.99,,9450.00,,,1,9450.00,1,F1,1,,,,,
