TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-09-19,2025-09-19,CM,NSE,STK,19078,IN0020200104,SGBJUN28,GB,,,,,2.5%GOLDBONDS2028SR-III,11609.00,11740.01,11609.00,11695.00,11695.00,11690.12,,11695.00,,,141,1652132.10,20,F1,1,,,,,
2025-09-19,2025-09-19,CM,NSE,STK,1342,IN0020200286,SGBN28VIII,GB,,,,,2.5%GOLDBONDS2028SR-VIII,12066.00,12400.00,12066.00,12364.00,12400.00,12224.56,,12364.00,,,78,960714.42,30,F1,1,,,,,
2025-09-19,2025-09-19,CM,NSE,STK,3742,IN0020210053,SGBMAY29I,GB,,,,,2.5%GOLDBONDS2029SR-I,11850.00,11949.00,11800.00,11834.08,11800.00,11859.95,,11833.98,,,788,9337478.30,93,F1,1,,,,,
2025-09-19,2025-09-19,CM,NSE,STK,3743,IN0020210061,SGBJUN29II,GB,,,,,2.5%GOLDBONDS2029SR-II,11898.37,11898.37,11850.00,11884.00,11884.00,11890.36,,11884.00,,,18,213690.34,9,F1,1,,,,,
2025-09-19,2025-09-19,CM,NSE,STK,3800,IN0020210087,SGBJU29III,GB,,,,,2.5%GOLDBONDS2029SR-III,11851.00,11885.00,11770.00,11805.00,11770.00,11850.00,,11805.00,,,76,899746.22,35,F1,1,,,,,
2025-09-19,2025-09-19,CM,NSE,STK,5575,IN0020210145,SGBSEP29VI,GB,,,,,2.5%GOLDBONDS2029SR-VI,11841.00,11930.00,11841.00,11920.80,11929.99,11828.84,,11920.80,,,256,3048411.87,56,F1,1,,,,,
2025-09-19,2025-09-19,CM,NSE,STK,6518,IN0020210178,SGBNV29VII,GB,,,,,2.5%GOLDBONDS2029SR-VII,11779.50,11925.00,11779.50,11816.67,11850.00,11838.69,,11817.47,,,107,1268144.03,26,F1,1,,,,,
2025-09-19,2025-09-19,CM,NSE,STK,250,IN0020170059,SGBOCT25,GB,,,,,2.50% GOLDBONDS2025SR-III,11439.90,11499.99,11400.00,11499.99,11499.99,11502.68,,11499.99,,,13,148819.17,5,F1,1,,,,,
2025-09-19,2025-09-19,CM,NSE,STK,304,IN0020170067,SGBOCT25IV,GB,,,,,2.50% GOLDBONDS2025SR-IV,11222.00,11222.00,11222.00,11222.00,11222.00,11490.58,,11222.00,,,4,44888.00,1,F1,1,,,,,
2025-09-19,2025-09-19,CM,NSE,STK,623,IN0020170125,SGBDEC25,GB,,,,,2.50%GOLDBONDS 2025 SR-X,11011.11,12225.00,11011.11,12002.00,12002.00,12225.00,,12001.00,,,6,71147.11,5,F1,1,,,,,
2025-09-19,2025-09-19,CM,NSE,STK,729,IN0020170133,SGBDEC25XI,GB,,,,,2.50%GOLDBONDS 2025 SR-XI,12750.00,12750.00,12750.00,12750.00,12750.00,12750.00,,12750.00,,,1,12750.00,1,F1,1,,,,,
2025-09-19,2025-09-19,CM,NSE,STK,540,IN0020170117,SGBNOV25IX,GB,,,,,2.50%GOLDBONDS 2025SR-IX,11850.00,11850.00,11800.00,11800.00,11800.00,11520.00,,11800.00,,,6,71000.00,2,F1,1,,,,,
2025-09-19,2025-09-19,CM,NSE,STK,795,IN0020170141,SGBDEC2512,GB,,,,,2.50%GOLDBONDS2025 SR-XII,11700.00,11700.00,11700.00,11700.00,11700.00,11700.00,,11700.00,,,1,11700.00,1,F1,1,,,,,
2025-09-19,2025-09-19,CM,NSE,STK,497,IN0020170109,SGBNOV258,GB,,,,,2.50%GOLDBONDS2025SR-VIII,11651.07,11651.07,11651.07,11651.07,11651.07,11300.00,,11651.07,,,6,69906.42,4,F1,1,,,,,
2025-09-19,2025-09-19,CM,NSE,STK,2891,IN0020180033,SGBMAY26,GB,,,,,2.50%GOLDBONDS2026SR-I,11787.50,11787.50,11504.00,11780.00,11780.00,11500.00,,11830.00,,,34,399816.00,8,F1,1,,,,,
2025-09-19,2025-09-19,CM,NSE,STK,5960,IN0020180249,SGBOCT26,GB,,,,,2.50%GOLDBONDS2026SR-II,11850.00,11850.00,11750.00,11750.00,11750.00,11900.00,,11750.00,,,9,106050.00,3,F1,1,,,,,
2025-09-19,2025-09-19,CM,NSE,STK,945,IN0020170166,SGBJAN26,GB,,,,,2.50%GOLDBONDS2026SR-XIV,11852.10,11852.10,10900.00,11600.02,11600.02,11846.15,,11750.01,,,28,322170.14,15,F1,1,,,,,
2025-09-19,2025-09-19,CM,NSE,STK,11154,IN0020190081,SGBJUL27,GB,,,,,2.50%GOLDBONDS2027SR-II,11730.90,11888.00,11500.00,11500.00,11500.00,11819.60,,11600.00,,,13,151975.60,7,F1,1,,,,,
2025-09-19,2025-09-19,CM,NSE,STK,12904,IN0020190107,SGBAUG27,GB,,,,,2.50%GOLDBONDS2027SR-III,11900.00,11960.00,11699.99,11848.68,11849.00,11928.15,,11848.68,,,248,2927672.63,67,F1,1,,,,,
2025-09-19,2025-09-19,CM,NSE,STK,13209,IN0020190115,SGBSEP27,GB,,,,,2.50%GOLDBONDS2027SR-IV,11794.99,11794.99,11600.00,11616.66,11600.00,11859.99,,11616.66,,,12,140244.99,6,F1,1,,,,,
2025-09-19,2025-09-19,CM,NSE,STK,8308,IN0020180462,SGBJAN27,GB,,,,,2.50%GOLDBONDS2027SR-V,11737.00,11737.00,11403.00,11730.00,11730.00,11736.86,,11730.00,,,3,34870.00,3,F1,1,,,,,
2025-09-19,2025-09-19,CM,NSE,STK,13981,IN0020190370,SGBOCT27,GB,,,,,2.50%GOLDBONDS2027SR-V,11700.00,11701.00,11700.00,11701.00,11701.00,11795.00,,11701.00,,,18,210614.99,4,F1,1,,,,,
2025-09-19,2025-09-19,CM,NSE,STK,8766,IN0020180561,SGBFEB27,GB,,,,,2.50%GOLDBONDS2027SR-VI,12355.00,12355.00,12355.00,12355.00,12355.00,12355.00,,12355.00,,,1,12355.00,1,F1,1,,,,,
2025-09-19,2025-09-19,CM,NSE,STK,14252,IN0020190388,SGBOCT27VI,GB,,,,,2.50%GOLDBONDS2027SR-VI,11749.99,11749.99,11700.00,11725.00,11725.00,11799.99,,11725.00,,,10,117105.99,5,F1,1,,,,,
2025-09-19,2025-09-19,CM,NSE,STK,15432,IN0020190461,SGBDC27VII,GB,,,,,2.50%GOLDBONDS2027SR-VII,11933.04,11933.04,11933.04,11933.04,11933.04,11933.04,,11933.04,,,3,35799.12,3,F1,1,,,,,
