date,open,high,low,close,volume
2026-04-01,381.3,381.9,361.45,364.65,15449629.0
2026-04-02,359.95,361.3,352.0,359.65,16551512.0
2026-04-06,358.8,366.75,355.7,366.1,11534034.0
2026-04-07,364.85,369.8,362.25,368.85,12603971.0
2026-04-08,373.5,375.55,368.25,374.15,19491331.0
2026-04-09,376.95,384.2,376.5,378.65,18503665.0
2026-04-10,381.2,384.45,372.05,380.15,14953758.0
2026-04-13,374.35,388.0,374.35,386.25,15240045.0
2026-04-15,390.25,393.95,387.1,392.6,7722460.0
2026-04-16,397.0,397.25,387.8,390.8,9896906.0
2026-04-17,393.0,396.25,388.45,393.6,15320653.0
2026-04-20,393.0,400.85,390.65,398.0,9895187.0
2026-04-21,398.6,402.7,395.7,396.2,9493644.0
2026-04-22,398.0,407.25,393.2,405.4,16411131.0
2026-04-23,404.0,405.9,400.4,402.25,9144699.0
2026-04-24,404.75,405.25,399.2,401.85,6266676.0
2026-04-27,403.9,414.4,402.6,410.2,13001752.0
2026-04-28,414.0,414.2,405.95,406.85,7726655.0
2026-04-29,409.5,410.0,399.65,401.3,11920835.0
2026-04-30,400.0,400.3,393.15,399.15,7706357.0
2026-05-04,400.0,404.8,397.25,400.05,6333200.0
2026-05-05,398.3,400.5,394.55,398.65,6791514.0
