symbol,signal_date,entry_date,exit_date,side,entry_price,exit_price,stop_loss,target_price,quantity,pnl,pnl_pct,holding_days,confidence,score,market_trend,entry_point,avg_volume,macd_crossover,ema_crossover,price_position,bullish_reversal,comments
HEROMOTOCO,2025-07-16,2025-07-17,2025-07-25,LONG,4437.0,4215.15,4215.15,4880.7,1,-221.85,-5.0,7,High,7,Up,Good,Good,MACD cross,Pullback to 20 EMA,RSI cooling,Bullish reversal,Signal score 7/7
SHRIRAMFIN,2025-07-16,2025-07-17,2025-07-24,LONG,670.0,636.5,636.5,737.0,7,-234.5,-5.0,6,High,7,Up,Good,Good,No MACD cross,Pullback to 20 EMA,RSI cooling,Bullish reversal,Signal score 7/7
ADANIPORTS,2025-07-16,2025-07-17,2025-07-28,LONG,1455.0,1382.25,1382.25,1600.5,3,-218.25,-5.0,8,Medium,5,Up,Weak,Good,MACD cross,Pullback to 20 EMA,RSI cooling,No reversal,Signal score 5/7
ASIANPAINT,2025-07-16,2025-07-17,2025-07-30,LONG,2404.1,2415.8,2283.89,2644.52,2,23.4,0.49,10,Medium,5,Up,Weak,Low,No MACD cross,Pullback to 20 EMA,RSI cooling,Bullish reversal,Signal score 5/7
BAJAJFINSV,2025-07-16,2025-07-17,2025-07-25,LONG,2037.6,1935.72,1935.72,2241.36,2,-203.76,-5.0,7,Medium,5,Up,Weak,Low,MACD cross,Pullback to 20 EMA,RSI cooling,Bullish reversal,Signal score 5/7
ETERNAL,2025-07-25,2025-07-28,2025-08-07,LONG,310.0,294.5,294.5,341.0,16,-248.0,-5.0,9,Medium,4,Up,Weak,Good,MACD cross,Away from 20 EMA,RSI not in zone,Bullish reversal,Signal score 4/7
BAJAJFINSV,2025-07-28,2025-07-29,2025-08-11,LONG,1977.8,1922.8,1878.91,2175.58,2,-110.0,-2.78,10,Medium,5,Up,Weak,Good,No MACD cross,Pullback to 20 EMA,RSI cooling,No reversal,Signal score 5/7
HEROMOTOCO,2025-07-28,2025-07-29,2025-08-11,LONG,4290.0,4562.2,4075.5,4719.0,1,272.2,6.34,10,Medium,5,Up,Weak,Low,No MACD cross,Pullback to 20 EMA,RSI cooling,Bullish reversal,Signal score 5/7
BEL,2025-07-29,2025-07-30,2025-08-12,LONG,390.95,380.35,371.4,430.05,12,-127.2,-2.71,10,Medium,5,Up,Weak,Good,No MACD cross,Away from 20 EMA,RSI cooling,Bullish reversal,Signal score 5/7
ASIANPAINT,2025-07-31,2025-08-01,2025-08-14,LONG,2378.0,2528.7,2259.1,2615.8,2,301.4,6.34,10,High,7,Up,Good,Good,No MACD cross,Pullback to 20 EMA,RSI cooling,Bullish reversal,Signal score 7/7
ICICIBANK,2025-08-07,2025-08-08,2025-08-22,LONG,1445.9,1436.4,1373.61,1590.48,3,-28.5,-0.66,10,Medium,5,Up,Weak,Low,No MACD cross,Pullback to 20 EMA,RSI cooling,Bullish reversal,Signal score 5/7
BEL,2025-08-13,2025-08-14,2025-08-26,LONG,387.85,368.46,368.46,426.63,12,-232.68,-5.0,8,Medium,4,Up,Weak,Low,No MACD cross,Pullback to 20 EMA,RSI cooling,No reversal,Signal score 4/7
SBIN,2025-08-13,2025-08-14,2025-08-29,LONG,822.0,802.5,780.9,904.2,6,-117.0,-2.37,10,Medium,4,Up,Weak,Low,MACD cross,Pullback to 20 EMA,RSI cooling,No reversal,Signal score 4/7
TATASTEEL,2025-08-18,2025-08-19,2025-09-02,LONG,158.5,158.39,150.57,174.36,31,-3.41,-0.07,10,High,7,Up,Good,Good,No MACD cross,Pullback to 20 EMA,RSI cooling,Bullish reversal,Signal score 7/7
HDFCBANK,2025-08-18,2025-08-19,2025-08-26,LONG,1998.3,1898.38,1898.38,2198.14,2,-199.84,-5.0,6,Medium,5,Up,Weak,Good,No MACD cross,Pullback to 20 EMA,RSI cooling,No reversal,Signal score 5/7
ASIANPAINT,2025-08-22,2025-08-25,2025-09-08,LONG,2516.0,2530.8,2390.2,2767.6,1,14.8,0.59,10,Medium,4,Up,Weak,Low,MACD cross,Pullback to 20 EMA,RSI cooling,No reversal,Signal score 4/7
HDFCLIFE,2025-08-26,2025-08-28,2025-09-10,LONG,775.5,777.6,736.72,853.06,6,12.6,0.27,10,Medium,5,Up,Weak,Good,MACD cross,Pullback to 20 EMA,RSI cooling,No reversal,Signal score 5/7
CIPLA,2025-08-26,2025-08-28,2025-09-10,LONG,1594.0,1563.8,1514.3,1753.4,3,-90.6,-1.89,10,Medium,4,Up,Weak,Good,MACD cross,Pullback to 20 EMA,RSI not in zone,No reversal,Signal score 4/7
JIOFIN,2025-08-29,2025-09-01,2025-09-12,LONG,311.7,311.2,296.11,342.88,16,-8.0,-0.16,10,Medium,4,Up,Weak,Good,No MACD cross,Away from 20 EMA,RSI cooling,No reversal,Signal score 4/7
SBILIFE,2025-09-03,2025-09-04,2025-09-04,LONG,1890.0,1795.5,1795.5,2079.0,2,-189.0,-5.0,1,High,7,Up,Good,Good,No MACD cross,Pullback to 20 EMA,RSI cooling,Bullish reversal,Signal score 7/7
GRASIM,2025-09-04,2025-09-05,2025-09-18,LONG,2810.0,2878.8,2669.5,3091.0,1,68.8,2.45,10,Medium,5,Up,Weak,Good,No MACD cross,Pullback to 20 EMA,RSI cooling,No reversal,Signal score 5/7
ASIANPAINT,2025-09-09,2025-09-10,2025-09-23,LONG,2537.3,2446.9,2410.43,2791.04,1,-90.4,-3.56,10,Medium,5,Up,Weak,Low,No MACD cross,Pullback to 20 EMA,RSI cooling,Bullish reversal,Signal score 5/7
TATAMOTORS,2025-09-10,2025-09-11,2025-09-24,LONG,710.2,682.95,674.69,781.22,7,-190.75,-3.84,10,Medium,4,Up,Weak,Low,MACD cross,Pullback to 20 EMA,RSI cooling,No reversal,Signal score 4/7
