date,equity
2026-02-27,24673.0
2026-02-24,24193.64
2026-02-27,24032.64
2026-02-27,24291.989999999998
2026-02-25,25031.789999999997
2026-03-04,24563.789999999997
2026-03-02,24104.429999999997
2026-03-04,23607.629999999997
2026-03-06,23248.079999999998
2026-03-06,22750.379999999997
2026-03-05,23460.649999999998
2026-03-09,22989.73
2026-03-09,22493.53
2026-03-09,21993.969999999998
2026-03-10,22689.499999999996
2026-03-12,23420.249999999996
2026-03-12,22920.299999999996
2026-03-12,22438.619999999995
2026-03-13,22026.869999999995
2026-03-16,21977.369999999995
2026-03-18,21807.369999999995
2026-03-13,21319.209999999995
2026-03-13,20829.209999999995
2026-03-19,20832.209999999995
2026-03-17,21582.049999999996
2026-03-19,21505.649999999994
2026-03-20,21264.349999999995
2026-03-19,20777.949999999993
2026-03-20,21524.409999999993
2026-03-25,22175.249999999993
2026-03-24,21682.049999999992
2026-03-23,21265.049999999992
2026-03-27,21487.34999999999
2026-03-27,21398.84999999999
2026-03-30,20903.64999999999
2026-03-30,20435.64999999999
2026-04-02,20559.59999999999
2026-04-02,20111.39999999999
2026-04-06,20830.67999999999
2026-04-07,21566.87999999999
2026-04-06,21070.97999999999
2026-04-09,21250.17999999999
2026-04-08,21989.099999999988
2026-04-10,22271.099999999988
2026-04-10,21814.88999999999
2026-04-10,22516.88999999999
2026-04-15,23250.439999999988
2026-04-16,22773.70999999999
2026-04-16,23516.20999999999
2026-04-16,24250.899999999987
2026-04-20,24531.899999999987
2026-04-21,24252.599999999988
2026-04-22,24306.99999999999
2026-04-20,25027.14999999999
2026-04-23,25149.69999999999
2026-04-27,25177.44999999999
2026-04-27,25423.44999999999
2026-04-27,24930.24999999999
2026-04-28,25674.38999999999
2026-04-27,25174.88999999999
2026-04-30,25873.10999999999
2026-05-05,25406.90999999999
2026-05-05,25266.30999999999
2026-04-30,24774.15999999999
2026-05-05,24828.15999999999
2026-05-06,25244.85999999999
2026-05-06,25631.85999999999
2026-05-06,25135.95999999999
