date,equity
2025-07-22,25089.4
2025-07-25,24709.800000000003
2025-07-22,25690.300000000003
2025-07-28,25561.500000000004
2025-07-28,25367.900000000005
2025-08-05,25136.900000000005
2025-07-28,24669.950000000004
2025-08-11,25190.350000000006
2025-08-11,25734.750000000007
2025-08-01,25247.550000000007
2025-08-06,24778.530000000006
2025-08-19,24916.480000000007
2025-08-21,24945.88000000001
2025-08-20,25937.200000000008
2025-08-28,25974.000000000007
2025-08-19,26907.640000000007
2025-09-03,27229.140000000007
2025-08-28,26735.040000000008
2025-09-04,26950.040000000008
2025-09-02,26968.640000000007
2025-09-11,26959.040000000008
2025-09-12,27043.94000000001
2025-09-10,27062.540000000008
2025-09-16,27240.72000000001
2025-09-18,27198.72000000001
2025-09-24,27045.72000000001
2025-09-25,27043.72000000001
2025-09-26,26546.12000000001
2025-09-30,26322.92000000001
2025-09-29,25891.49000000001
2025-10-09,26338.49000000001
2025-10-10,26735.69000000001
2025-10-13,26856.69000000001
2025-10-10,26809.49000000001
2025-10-15,26955.89000000001
2025-10-23,26544.09000000001
2025-10-24,26591.94000000001
2025-10-27,26664.44000000001
2025-10-28,26761.44000000001
2025-10-29,26858.040000000008
2025-11-07,26769.840000000007
2025-11-10,26824.440000000006
2025-10-30,26375.040000000005
2025-11-06,27366.840000000004
2025-11-06,26898.240000000005
2025-11-11,26506.590000000004
2025-11-20,26827.190000000002
2025-11-19,26972.99
2025-11-21,27069.99
2025-11-14,26575.890000000003
2025-11-24,26904.690000000002
2025-11-28,26976.74
2025-11-24,26487.99
2025-12-04,26498.390000000003
2025-12-05,26293.590000000004
2025-12-08,26236.590000000004
2025-12-08,26237.590000000004
2025-12-12,26616.190000000002
2025-12-18,26632.99
2025-12-19,26612.84
2025-12-22,26777.64
2025-12-19,26815.239999999998
2025-12-29,26544.039999999997
2026-01-02,26771.44
2026-01-05,26574.039999999997
2026-01-05,26766.039999999997
2026-01-06,27020.44
2026-01-12,27241.239999999998
2026-01-09,26785.12
2026-01-20,26472.92
2026-01-08,26002.219999999998
2026-01-21,25641.319999999996
2026-01-23,25549.619999999995
2026-01-20,25118.879999999994
2026-01-28,25439.479999999992
2026-02-04,26013.679999999993
2026-02-05,26834.379999999994
2026-02-05,27256.379999999994
2026-01-29,28242.779999999995
2026-02-11,28518.879999999994
2026-02-12,28434.879999999994
2026-02-19,28518.179999999993
2026-02-12,28034.579999999994
2026-02-12,27577.919999999995
2026-02-25,27657.019999999993
2026-02-26,27879.319999999992
2026-02-26,28169.319999999992
2026-02-26,27971.91999999999
2026-03-02,27561.91999999999
2026-03-12,27867.41999999999
2026-03-13,28654.01999999999
2026-03-04,28195.09999999999
2026-03-09,27698.299999999992
2026-03-09,27227.68999999999
2026-03-13,26793.52999999999
2026-03-23,26599.12999999999
2026-03-24,26610.67999999999
2026-03-16,26113.47999999999
2026-03-30,25810.279999999988
2026-03-30,25725.779999999988
2026-04-01,25496.879999999986
2026-04-08,26494.579999999987
2026-04-10,27122.179999999986
2026-04-17,27185.179999999986
2026-04-20,27019.079999999987
2026-04-16,28003.379999999986
2026-04-23,28826.879999999986
2026-04-28,29430.629999999986
2026-04-30,29614.629999999986
2026-05-04,29818.629999999986
2026-04-30,30794.989999999987
2026-05-06,30741.489999999987
2026-05-06,30779.989999999987
2026-05-06,31109.38999999999
2026-05-06,31169.83999999999
2026-05-06,31525.83999999999
