symbol,signal_date,entry_date,exit_date,side,entry_price,exit_price,stop_loss,target_price,quantity,pnl,pnl_pct,holding_days,confidence,score,market_trend,entry_point,avg_volume,macd_crossover,ema_crossover,price_position,bullish_reversal,comments
ASIANPAINT,2025-07-16,2025-07-17,2025-07-30,LONG,2404.1,2415.8,2283.89,2644.52,4,46.8,0.49,10,High,7,Up,Good,Good,No,Trend OK,20 DMA pullback,Yes,Signal score 7/7
BAJAJFINSV,2025-07-16,2025-07-17,2025-07-25,LONG,2037.6,1935.72,1935.72,2241.36,5,-509.4,-5.0,7,High,7,Up,Good,Low,Yes,Trend OK,20 DMA pullback,Yes,Signal score 7/7
BRITANNIA,2025-07-16,2025-07-17,2025-07-30,LONG,5792.5,5747.0,5502.88,6371.74,2,-91.0,-0.79,10,High,7,Up,Good,Good,No,Trend OK,20 DMA pullback,Yes,Signal score 7/7
EICHERMOT,2025-07-16,2025-07-17,2025-07-25,LONG,5668.0,5384.6,5384.6,6234.8,2,-566.8,-5.0,7,High,7,Up,Good,Low,No,Trend OK,20 DMA pullback,Yes,Signal score 7/7
JSWSTEEL,2025-07-16,2025-07-17,2025-07-30,LONG,1030.5,1037.9,978.97,1133.56,11,81.4,0.72,10,High,7,Up,Good,Low,No,Trend OK,20 DMA pullback,Yes,Signal score 7/7
NESTLEIND,2025-07-25,2025-07-28,2025-08-08,LONG,2274.7,2160.96,2160.96,2502.18,5,-568.7,-5.0,10,Medium,4,Up,Weak,Good,No,Trend OK,Away from 20 DMA,No,Signal score 4/7
HEROMOTOCO,2025-07-28,2025-07-29,2025-08-11,LONG,4290.0,4562.2,4075.5,4719.0,2,544.4,6.34,10,Medium,5,Up,Weak,Low,No,Trend OK,Away from 20 DMA,Yes,Signal score 5/7
APOLLOHOSP,2025-07-31,2025-08-01,2025-08-07,LONG,7538.0,7161.1,7161.1,8291.8,1,-376.9,-5.0,5,High,7,Up,Good,Low,Yes,Trend OK,20 DMA pullback,Yes,Signal score 7/7
ASIANPAINT,2025-07-31,2025-08-01,2025-08-14,LONG,2378.0,2528.7,2259.1,2615.8,5,753.5,6.34,10,High,7,Up,Good,Good,No,Trend OK,20 DMA pullback,Yes,Signal score 7/7
HINDUNILVR,2025-07-31,2025-08-01,2025-08-14,LONG,2550.0,2480.6,2422.5,2805.0,4,-277.6,-2.72,10,High,7,Up,Good,Good,No,Trend OK,20 DMA pullback,Yes,Signal score 7/7
